Unnamed: 0,A,D,F,H,N,S,fileName,numResponses,agreement,emoVote,meanEmoResp,meanAngerResp,meanDisgustResp,meanFearResp,meanHappyResp,meanNeutralResp,meanSadResp,medianEmoResp,meanEmoRespNorm,meanAngerRespNorm,meanDisgustRespNorm,meanFearRespNorm,meanHappyRespNorm,meanNeutralRespNorm,meanSadRespNorm,medianEmoRespNorm
100001,0,0,0,1,10,0,1001_IEO_NEU_XX,11,0.9090909090909091,N,71.7272727272727,-1.0,-1.0,-1.0,98.0,69.1,-1.0,87.0,66.1713199530713,-1.0,-1.0,-1.0,97.89473684210529,62.9989782641679,-1.0,83.3333333333333
100003,0,0,0,4,7,0,1001_IEO_HAP_MD,11,0.6363636363636359,N,63.636363636363605,-1.0,-1.0,-1.0,56.5,67.71428571428571,-1.0,60.0,61.874712936474,-1.0,-1.0,-1.0,55.1652298850575,65.7087032515691,-1.0,61.1111111111111
100012,0,3,5,0,3,0,1001_IEO_FEA_MD,11,0.45454545454545503,F,57.0,-1.0,48.0,65.8,-1.0,51.3333333333333,-1.0,57.0,53.86666916649779,-1.0,36.9019327555913,65.9885371073936,-1.0,50.628292342578106,-1.0,52.8571428571429
100013,2,3,3,1,2,0,1001_IEO_FEA_HI,11,0.272727272727273,D:F,67.7272727272727,93.0,81.3333333333333,63.6666666666667,26.0,49.0,-1.0,76.0,64.5385339729222,92.63157894736841,81.42441860465121,52.5182457202435,27.7777777777778,47.5274725274725,-1.0,80.76923076923079
100014,0,2,1,0,7,1,1001_IEO_DIS_LO,11,0.6363636363636359,N,50.0909090909091,-1.0,46.5,22.0,-1.0,59.571428571428605,19.0,49.0,41.1255497986241,-1.0,40.9206234142805,9.09090909090909,-1.0,49.5278276435342,14.754098360655698,38.8888888888889
100015,1,1,1,0,8,0,1001_IEO_DIS_MD,11,0.7272727272727271,N,72.1818181818182,76.0,96.0,40.0,-1.0,72.75,-1.0,74.0,68.3419805391695,59.0909090909091,94.3661971830986,40.9836065573771,-1.0,69.6651341374349,-1.0,61.7283950617284
100016,6,4,0,1,0,0,1001_IEO_DIS_HI,11,0.545454545454545,A,53.454545454545496,59.5,48.25,-1.0,38.0,-1.0,-1.0,42.0,43.85039483576139,51.0448730690402,38.812942861450296,-1.0,20.8333333333333,-1.0,-1.0,28.358208955223898
100020,5,4,0,0,2,0,1001_TIE_ANG_XX,11,0.45454545454545503,A,59.454545454545496,54.8,47.75,-1.0,-1.0,94.5,-1.0,62.0,47.424030796508596,45.9740546184036,29.4961354650132,-1.0,-1.0,86.90476190476191,-1.0,49.4845360824742
100021,7,1,1,0,2,0,1001_TIE_FEA_XX,11,0.6363636363636359,A,42.363636363636395,36.8571428571429,54.0,43.0,-1.0,55.5,-1.0,42.0,36.640363295745004,26.6758285805905,69.4915254237288,52.112676056337996,-1.0,47.3544973544973,-1.0,37.1428571428571
100023,0,1,0,4,6,0,1001_IOM_NEU_XX,11,0.545454545454545,N,56.636363636363605,-1.0,60.0,-1.0,38.0,68.5,-1.0,60.0,49.440941470144395,-1.0,56.5217391304348,-1.0,31.0245398061854,60.5384096360686,-1.0,46.5909090909091
